policy	device	dtype	params	batch	denoise_steps	launch	warmup	n	fwd_mean_ms	fwd_p50_ms	fwd_p95_ms	fwd_max_ms	peak_mem_mb	first_call_ms	action_shape	valid
pi0-tiny	cuda	bf16-mixed	1710323472	1	5	0	5	30	35.022	35.033	35.35	35.71	3466.6	316615.0	[1, 10, 32]	true
pi0-tiny	cuda	bf16-mixed	1710323472	1	5	1	5	30	35.007	34.858	35.966	36.036	3447.1	13521.4	[1, 10, 32]	true
pi0-tiny	cuda	bf16-mixed	1710323472	1	5	2	5	30	34.899	34.614	36.536	36.605	3447.1	15532.9	[1, 10, 32]	true
pi0-base	cuda	bf16-mixed	3616757520	1	5	0	5	30	99.991	100.007	100.352	100.485	7337.0	305377.6	[1, 10, 32]	true
pi0-base	cuda	bf16-mixed	3616757520	1	5	1	5	30	99.982	99.738	100.524	103.156	7268.3	20342.0	[1, 10, 32]	true
pi0-base	cuda	bf16-mixed	3616757520	1	5	2	5	30	99.975	99.955	100.849	101.225	7268.3	20937.7	[1, 10, 32]	true
pi0-tiny	cpu	fp32	1710323472	1	5	0	5	10	3300.95	3237.848	3364.54	3762.922	0.0	106108.9	[1, 10, 32]	true
pi0-tiny	cpu	fp32	1710323472	1	5	1	5	10	3207.416	3209.011	3279.057	3296.106	0.0	20644.1	[1, 10, 32]	true
pi0-tiny	cpu	fp32	1710323472	1	5	2	5	10	3247.287	3240.701	3320.603	3357.651	0.0	20598.9	[1, 10, 32]	true
pi0-base	cpu	fp32	3616757520	1	5	0	5	5	13481.686	13450.904	13529.392	13601.704	0.0	122270.4	[1, 10, 32]	true
pi0-base	cpu	fp32	3616757520	1	5	1	5	5	13737.404	13802.808	13861.522	13965.963	0.0	41627.3	[1, 10, 32]	true
pi0-base	cpu	fp32	3616757520	1	5	2	5	5	13543.417	13401.233	13739.06	13800.934	0.0	40958.9	[1, 10, 32]	true
