cell	suite	task_id	episodes	successes	sr	ci_lo	ci_hi	valid
A1	libero_spatial	0	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	1	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	2	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	3	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	4	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	5	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	6	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	7	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	8	10	10	1.0000	0.7225	1.0000	true
A1	libero_spatial	9	10	9	0.9000	0.5958	0.9821	true
A2	libero_10	0	20	17	0.8500	0.6396	0.9476	true
A2	libero_10	1	20	20	1.0000	0.8389	1.0000	true
A2	libero_10	2	20	20	1.0000	0.8389	1.0000	true
A2	libero_10	3	20	20	1.0000	0.8389	1.0000	true
A2	libero_10	4	20	20	1.0000	0.8389	1.0000	true
A2	libero_10	5	20	19	0.9500	0.7639	0.9911	true
A2	libero_10	6	20	19	0.9500	0.7639	0.9911	true
A2	libero_10	7	20	19	0.9500	0.7639	0.9911	true
A2	libero_10	8	20	11	0.5500	0.3421	0.7418	true
A2	libero_10	9	20	20	1.0000	0.8389	1.0000	true
