phase	seed	arm	first_step	last_step	updates	value_at_327680	value_at_end
A	0	-	4096	409600	100	1129.85	1453.58
A	1	-	4096	409600	100	1632.26	2049.48
A	2	-	4096	409600	100	1183.04	1345.71
B	0	all	331776	409600	20	1129.85	1533.87
B	0	model	4096	81920	20	1129.85	1322.86
B	0	except-critic	4096	81920	20	1129.85	1202.83
B	1	all	331777	409601	20	1632.26	2181.37
B	1	model	4096	81920	20	1632.26	2114.69
B	1	except-critic	4096	81920	20	1632.26	1998.86
B	2	all	331777	409601	20	1183.04	1385.11
B	2	model	4096	81920	20	1183.04	1286.92
B	2	except-critic	4096	81920	20	1183.04	1211.82
