cell	policy	algorithm	task	claim	seed	iterations	runs	first_return	last10_return	first_length	last10_length
fpo-walker	fpo-policy	fpo	Walker2d-v5	learns	0	100	true	0.7	964.0	19.2	413.6
fpo-walker	fpo-policy	fpo	Walker2d-v5	learns	1	100	true	-0.3	1026.5	18.5	409.3
fpo-walker	fpo-policy	fpo	Walker2d-v5	learns	2	100	true	0.6	1101.0	20.0	424.0
fpodppo-hopper	fpo-policy	dppo	Hopper-v5	runs	0	20	true	14.9	15.7	20.2	21.1
fpodppo-hopper	fpo-policy	dppo	Hopper-v5	runs	1	20	true	19.7	17.6	22.8	21.3
fpodppo-hopper	fpo-policy	dppo	Hopper-v5	runs	2	20	true	17.0	18.1	21.9	22.4
fpodppo-walker	fpo-policy	dppo	Walker2d-v5	runs	0	20	true	1.6	1.4	20.6	20.6
fpodppo-walker	fpo-policy	dppo	Walker2d-v5	runs	1	20	true	-0.0	0.1	18.9	19.2
fpodppo-walker	fpo-policy	dppo	Walker2d-v5	runs	2	20	true	0.5	1.1	20.4	21.3
dppo-cheetah	dppo-policy	dppo	HalfCheetah-v5	runs	0	20	true	-386.3	-384.0	1000.0	1000.0
dppo-cheetah	dppo-policy	dppo	HalfCheetah-v5	runs	1	20	true	-445.0	-365.7	1000.0	1000.0
dppo-cheetah	dppo-policy	dppo	HalfCheetah-v5	runs	2	20	true	-382.1	-418.2	1000.0	1000.0
dppo-hopper	dppo-policy	dppo	Hopper-v5	runs	0	20	true	11.2	75.7	18.7	46.5
dppo-hopper	dppo-policy	dppo	Hopper-v5	runs	1	20	true	12.4	77.2	16.8	47.7
dppo-hopper	dppo-policy	dppo	Hopper-v5	runs	2	20	true	15.8	81.5	21.0	55.9
dppo-walker	dppo-policy	dppo	Walker2d-v5	runs	0	20	true	-2.2	220.0	17.6	202.6
dppo-walker	dppo-policy	dppo	Walker2d-v5	runs	1	20	true	-1.6	191.9	17.6	197.2
dppo-walker	dppo-policy	dppo	Walker2d-v5	runs	2	20	true	-2.6	156.5	15.1	181.3
