step	seed0	seed1	seed2	mean
4096	-303.9	-296.4	-344.2	-314.8
8192	-277.6	-225.9	-254.6	-252.7
12288	-302.3	-340.2	-221.0	-287.8
16384	-340.7	-221.5	-295.0	-285.7
20480	-262.1	-186.6	-322.2	-257.0
24576	-240.5	-142.1	-267.4	-216.7
28672	-179.7	-141.2	-240.5	-187.1
32768	-111.9	-126.9	-262.4	-167.1
36864	-112.4	-49.2	-131.1	-97.5
40960	-102.4	-96.1	-194.5	-131.0
45056	-72.1	-8.2	-198.8	-93.0
49152	-24.3	17.3	-204.5	-70.5
53248	26.6	10.2	-225.8	-63.0
57344	-36.0	64.6	-153.0	-41.5
61440	50.8	94.4	-98.3	15.6
65536	111.9	184.2	-68.5	75.9
69632	46.4	219.2	-48.4	72.4
73728	204.0	219.5	-11.0	137.5
77824	303.6	277.4	-43.1	179.3
81920	381.7	331.7	13.1	242.2
86016	421.6	376.8	14.4	271.0
90112	570.1	489.3	87.1	382.2
94208	620.3	560.9	69.8	417.0
98304	653.6	609.7	122.7	462.0
102400	696.8	393.8	64.5	385.0
106496	770.1	510.7	78.0	453.0
110592	843.1	702.3	146.3	563.9
114688	844.3	791.0	185.9	607.0
118784	645.2	404.7	288.6	446.2
122880	810.3	473.1	241.3	508.3
126976	913.8	150.8	235.3	433.3
131072	596.9	625.6	312.4	511.6
135168	715.0	873.2	297.3	628.5
139264	957.3	871.1	473.9	767.4
143360	579.9	931.0	473.7	661.5
147456	656.0	886.7	528.4	690.4
151552	682.7	817.1	544.0	681.2
155648	1008.4	892.8	533.4	811.6
159744	1056.4	1085.9	522.3	888.2
163840	1087.6	1014.1	334.2	812.0
167936	1151.3	1046.0	554.8	917.4
172032	832.0	767.4	660.7	753.4
176128	1173.8	773.4	679.2	875.5
180224	1215.6	1195.1	802.4	1071.0
184320	1158.6	1236.1	658.7	1017.8
188416	1179.2	1227.7	763.3	1056.7
192512	936.1	1221.3	746.4	967.9
196608	1305.3	1334.1	800.3	1146.5
200704	1261.5	1116.5	749.2	1042.4
204800	1268.9	1497.5	777.2	1181.2
208896	1286.0	1138.5	774.1	1066.2
212992	1386.5	1479.7	775.4	1213.9
217088	1370.2	1418.3	956.1	1248.2
221184	1279.2	1234.0	913.8	1142.3
225280	911.2	990.2	1008.3	969.9
229376	1393.1	645.3	878.5	972.3
233472	1422.4	1677.6	1109.2	1403.0
237568	1474.5	1543.3	935.9	1317.9
241664	1458.5	1089.5	893.7	1147.3
245760	1489.5	1069.8	745.9	1101.7
249856	1575.2	1658.1	1059.2	1430.8
253952	1576.0	1174.5	1018.0	1256.2
258048	1226.2	1326.6	960.4	1171.1
262144	1268.7	1521.7	985.9	1258.8
266240	1595.8	1544.5	1061.2	1400.5
270336	1535.2	1355.6	1102.6	1331.1
274432	1639.2	1292.9	1118.9	1350.3
278528	1688.6	1715.5	1093.2	1499.1
282624	1701.1	1169.8	1040.4	1303.8
286720	1676.3	1672.9	1148.5	1499.2
290816	1761.1	1593.7	1214.0	1522.9
294912	1135.7	1757.9	1144.7	1346.1
299008	1750.9	1352.9	1280.4	1461.4
303104	1732.1	1376.9	1065.2	1391.4
307200	1789.8	1049.1	850.2	1229.7
311296	1786.8	1843.8	1164.6	1598.4
315392	1423.6	1743.4	1427.9	1531.6
319488	1857.8	1908.4	1468.5	1744.9
323584	1783.3	1833.2	1438.8	1685.1
327680	1486.8	1804.3	1445.6	1578.9
331776	1786.6	1373.3	1630.5	1596.8
335872	2054.6	1319.2	1610.5	1661.4
339968	1857.1	1861.3	1519.2	1745.9
344064	1678.4	1897.8	1528.8	1701.7
348160	1843.3	1766.9	1604.1	1738.1
352256	1800.8	1282.5	1239.1	1440.8
356352	1971.1	1399.2	1662.7	1677.7
360448	1958.6	1431.2	796.3	1395.3
364544	1669.8	1744.8	1561.6	1658.7
368640	1887.7	1875.9	908.0	1557.2
372736	1455.6	1190.0	1584.1	1409.9
376832	2009.8	1790.7	1314.9	1705.1
380928	2061.9	1994.3	1645.6	1900.6
385024	1660.6	1952.7	1483.1	1698.8
389120	2150.9	2006.4	1711.6	1956.3
393216	2025.3	2063.5	1709.6	1932.8
397312	2027.3	1343.8	612.4	1327.8
401408	2021.3	1973.3	1311.8	1768.8
405504	1647.8	1564.0	1655.3	1622.4
409600	2210.5	2033.9	1481.6	1908.7
413696	1780.2	1983.5	1842.0	1868.6
417792	1434.5	1314.0	1377.0	1375.2
421888	1974.9	2148.0	1786.7	1969.9
425984	2133.0	2041.8	1796.7	1990.5
430080	2155.2	2091.6	1344.3	1863.7
434176	2320.0	1340.4	1390.4	1683.6
438272	2113.7	1285.7	1861.2	1753.5
442368	2115.5	1538.5	1882.1	1845.4
446464	2225.7	1229.5	1583.6	1679.6
450560	1790.5	2030.5	1969.6	1930.2
454656	2062.6	1877.3	1806.2	1915.4
458752	1672.0	1973.9	1800.6	1815.5
462848	2097.1	2090.1	1836.2	2007.8
466944	2201.0	2110.3	190.0	1500.5
471040	2071.3	2063.4	1711.5	1948.7
475136	1778.2	2096.1	1916.5	1930.3
479232	1911.2	1583.5	1913.9	1802.9
483328	2143.1	1752.8	2126.3	2007.4
487424	1992.6	2048.3	1602.1	1881.0
491520	2277.3	1615.0	1493.9	1795.4
495616	2331.4	2140.1	1996.3	2155.9
499712	2195.2	2167.5	1903.5	2088.7
500000	2298.8	2231.0	1970.0	2166.6
