rung	payload_kib	rep	exchanges	pack_ms	rtt_ms	unpack_ms	wall_s	exchanges_per_s	per_exchange_per_s	valid
lo	48	1	1000	0.035	0.603	0.013	1.159	862.8	1536.1	true
lo	48	2	1000	0.042	0.752	0.012	1.366	732.1	1240.7	true
lo	48	3	1000	0.031	0.490	0.006	1.281	780.6	1897.5	true
lo	48	4	1000	0.032	0.495	0.007	0.980	1020.4	1872.7	true
lo	48	5	1000	0.034	0.585	0.011	1.092	915.8	1587.3	true
lo	184	1	1000	0.227	0.761	0.013	1.846	541.7	999.0	true
lo	184	2	1000	0.249	0.898	0.013	2.114	473.0	862.1	true
lo	184	3	1000	0.256	0.829	0.013	2.028	493.1	910.7	true
lo	184	4	1000	0.244	0.851	0.012	1.998	500.5	903.3	true
lo	184	5	1000	0.253	0.816	0.012	2.047	488.5	925.1	true
lo	588	1	1000	0.929	1.990	0.011	4.798	208.4	341.3	true
lo	588	2	1000	0.940	1.908	0.011	4.756	210.3	349.8	true
lo	588	3	1000	0.971	1.900	0.012	5.245	190.7	346.9	true
lo	588	4	1000	0.936	1.455	0.010	4.378	228.4	416.5	true
lo	588	5	1000	0.974	1.572	0.011	4.541	220.2	391.1	true
self	48	1	1000	0.039	0.647	0.012	1.250	800.0	1432.7	true
self	48	2	1000	0.037	0.620	0.011	1.231	812.3	1497.0	true
self	48	3	1000	0.034	0.547	0.008	1.335	749.1	1697.8	true
self	48	4	1000	0.037	0.625	0.012	1.614	619.6	1483.7	true
self	48	5	1000	0.032	0.554	0.006	1.068	936.3	1689.2	true
self	184	1	1000	0.238	0.736	0.009	1.816	550.7	1017.3	true
self	184	2	1000	0.235	0.739	0.009	1.842	542.9	1017.3	true
self	184	3	1000	0.236	0.782	0.011	2.473	404.4	971.8	true
self	184	4	1000	0.240	0.783	0.012	1.892	528.5	966.2	true
self	184	5	1000	0.231	0.799	0.011	2.012	497.0	960.6	true
self	588	1	1000	1.044	1.725	0.013	4.887	204.6	359.5	true
self	588	2	1000	0.944	1.657	0.011	4.573	218.7	382.8	true
self	588	3	1000	0.970	1.805	0.010	4.724	211.7	359.1	true
self	588	4	1000	0.937	1.829	0.011	5.291	189.0	360.1	true
self	588	5	1000	1.041	2.196	0.011	5.410	184.8	307.9	true
win	48	1	1000	0.039	0.910	0.008	1.464	683.1	1044.9	true
win	48	2	1000	0.043	0.987	0.009	1.533	652.3	962.5	true
win	48	3	1000	0.057	0.949	0.009	1.561	640.6	985.2	true
win	48	4	1000	0.036	0.926	0.008	1.952	512.3	1030.9	true
win	48	5	1000	0.040	0.951	0.008	2.325	430.1	1001.0	true
win	184	1	1000	0.264	1.359	0.008	2.559	390.8	613.1	true
win	184	2	1000	0.214	1.220	0.008	2.272	440.1	693.5	true
win	184	3	1000	0.223	1.223	0.009	2.305	433.8	687.3	true
win	184	4	1000	0.238	1.320	0.009	2.470	404.9	638.2	true
win	184	5	1000	0.235	1.304	0.009	2.411	414.8	646.0	true
win	588	1	1000	1.006	3.218	0.010	6.288	159.0	236.2	true
win	588	2	1000	0.978	3.866	0.010	6.759	148.0	206.0	true
win	588	3	1000	0.997	2.158	0.008	5.016	199.4	316.2	true
win	588	4	1000	0.972	3.395	0.009	6.277	159.3	228.5	true
win	588	5	1000	0.981	3.134	0.010	6.053	165.2	242.4	true
