-- clients=1 rep=0 port=8900
   steps=16385 wall=67s sps=244.6 warn=0 recon=0 server_step=16385 accounting=true valid=true
-- clients=1 rep=1 port=8901
   steps=16385 wall=65s sps=252.1 warn=0 recon=0 server_step=16385 accounting=true valid=true
-- clients=1 rep=2 port=8902
   steps=16385 wall=67s sps=244.6 warn=0 recon=0 server_step=16385 accounting=true valid=true
-- clients=2 rep=0 port=8903
   steps=16386 wall=56s sps=292.6 warn=0 recon=0 server_step=16386 accounting=true valid=true
-- clients=2 rep=1 port=8904
   steps=16387 wall=56s sps=292.6 warn=0 recon=0 server_step=16387 accounting=true valid=true
-- clients=2 rep=2 port=8905
   steps=16386 wall=53s sps=309.2 warn=0 recon=0 server_step=16386 accounting=true valid=true
-- clients=4 rep=0 port=8906
   steps=16387 wall=37s sps=442.9 warn=0 recon=0 server_step=16387 accounting=true valid=true
-- clients=4 rep=1 port=8907
   steps=16388 wall=36s sps=455.2 warn=0 recon=0 server_step=16388 accounting=true valid=true
-- clients=4 rep=2 port=8908
   steps=16388 wall=37s sps=442.9 warn=0 recon=0 server_step=16388 accounting=true valid=true
-- clients=8 rep=0 port=8909
   steps=16394 wall=27s sps=607.2 warn=0 recon=0 server_step=16394 accounting=true valid=true
-- clients=8 rep=1 port=8910
   steps=16387 wall=27s sps=606.9 warn=0 recon=0 server_step=16387 accounting=true valid=true
-- clients=8 rep=2 port=8911
   steps=16394 wall=26s sps=630.5 warn=0 recon=0 server_step=16394 accounting=true valid=true

=== summary ===
placement	clients	rep	total_steps	wall_s	steps_per_s	infer_wait_mean_s	infer_wait_p95_s	no_step_state_warnings	reconnects	server_step	client_step_sum	step_accounting_ok	valid
same	1	0	16385	67	244.6	53.80	53.801	0	0	16385	16385	true	true
same	1	1	16385	65	252.1	54.12	54.123	0	0	16385	16385	true	true
same	1	2	16385	67	244.6	53.48	53.482	0	0	16385	16385	true	true
same	2	0	16386	56	292.6	48.33	48.440	0	0	16386	16386	true	true
same	2	1	16387	56	292.6	48.59	48.864	0	0	16387	16387	true	true
same	2	2	16386	53	309.2	46.03	46.343	0	0	16386	16386	true	true
same	4	0	16387	37	442.9	31.03	31.291	0	0	16387	16387	true	true
same	4	1	16388	36	455.2	30.55	30.808	0	0	16388	16388	true	true
same	4	2	16388	37	442.9	30.88	30.978	0	0	16388	16388	true	true
same	8	0	16394	27	607.2	22.13	22.399	0	0	16394	16394	true	true
same	8	1	16387	27	606.9	21.62	21.896	0	0	16387	16387	true	true
same	8	2	16394	26	630.5	21.11	21.398	0	0	16394	16394	true	true
